LOC+, ACAP, AEXP-, ARCH, CPLX, DATA, DOCU, FLEX, LTEX, PCAP, PCON, PLEX-, PMAT, PREC, PVOL, RELY, RUSE, SCED, SITE, STOR, TEAM, TIME, TOOL, RISK-, EFFORT-
947.0,1.0,1.0,4.0,3.0,5.0,2.0,4.0,2.0,5.0,2.0,4.0,5.0,3.0,3.0,2.0,5.0,3.0,2.0,3.0,5.0,4.0,2.0,6.0,20370.0
1203.0,3.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,5.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,6.0,4.0,3.0,22872.0
1929.0,2.0,1.0,5.0,4.0,2.0,1.0,4.0,1.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,2.0,3.0,5.0,6.0,4.0,4.0,8.0,54430.0
1033.0,5.0,5.0,4.0,6.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0,6.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,33255.0
1684.0,2.0,2.0,4.0,6.0,4.0,3.0,1.0,2.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,1.0,2.0,4.0,5.0,6.0,3.0,20.0,160677.0
1169.0,4.0,5.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,5.0,3.0,3.0,1.0,4.0,4.0,3.0,5.0,2.0,6.0,4.0,3.0,23671.0
559.0,2.0,2.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,5.0,3.0,2.0,6.0,4.0,6.0,4.0,11.0,28617.0
668.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,5.0,1.0,4.0,2.0,6.0,3.0,1.0,6.0,2.0,4.0,2.0,4.0,45050.0
903.0,4.0,4.0,4.0,4.0,5.0,1.0,6.0,4.0,5.0,1.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,1.0,6.0,2.0,3.0,14053.0
1088.0,4.0,4.0,2.0,3.0,3.0,1.0,6.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,2.0,6.0,2.0,3.0,4.0,2.0,4.0,4.0,0.0,5914.0
278.0,2.0,4.0,5.0,3.0,2.0,4.0,5.0,2.0,1.0,2.0,5.0,2.0,5.0,3.0,3.0,6.0,3.0,5.0,5.0,1.0,5.0,3.0,11.0,7696.0
1871.0,3.0,5.0,6.0,5.0,4.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,5.0,2.0,1.0,5.0,2.0,3.0,5.0,5.0,4.0,3.0,10.0,27635.0
