Loc+, Acap, Aexp, Arch, Cplx, Data, Docu, Flex, Ltex, Pcap, Pcon, Plex, Pmat, Prec, Pvol, Rely, Ruse, Sced, Site, Stor, Team, Time, Tool, Risk-, Effort-
378.0,5.0,4.0,2.0,6.0,2.0,5.0,2.0,2.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,2.0,4.0,5.0,1.0,5478.0
1909.0,2.0,1.0,1.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,1.0,4.0,5.0,1.0,6.0,1.0,26.0,207924.0
1011.0,2.0,3.0,4.0,3.0,4.0,2.0,1.0,3.0,4.0,1.0,4.0,6.0,1.0,4.0,1.0,2.0,3.0,3.0,4.0,5.0,5.0,4.0,0.0,9432.0
1234.0,3.0,5.0,6.0,2.0,4.0,4.0,2.0,3.0,4.0,3.0,1.0,2.0,4.0,2.0,2.0,6.0,2.0,3.0,5.0,5.0,6.0,1.0,8.0,16270.0
1746.0,4.0,1.0,3.0,4.0,5.0,5.0,1.0,1.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,5.0,4.0,3.0,6.0,124359.0
1741.0,4.0,4.0,1.0,5.0,3.0,3.0,6.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,5.0,2.0,1.0,3.0,6.0,4.0,5.0,6.0,42191.0
526.0,1.0,2.0,2.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,2.0,4.0,1.0,9.0,8244.0
275.0,4.0,1.0,1.0,2.0,5.0,4.0,2.0,1.0,5.0,5.0,3.0,3.0,5.0,3.0,2.0,3.0,2.0,4.0,5.0,4.0,4.0,3.0,2.0,4509.0
499.0,4.0,2.0,4.0,6.0,3.0,2.0,3.0,1.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,4.0,4.0,1.0,11.0,10014.0
540.0,4.0,3.0,5.0,6.0,2.0,4.0,4.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,5.0,5.0,5.0,1.0,6.0,12871.0
707.0,3.0,4.0,5.0,5.0,4.0,5.0,6.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,1.0,13356.0
1512.0,3.0,2.0,1.0,5.0,4.0,1.0,1.0,2.0,2.0,2.0,5.0,6.0,3.0,2.0,5.0,4.0,5.0,2.0,5.0,4.0,6.0,4.0,8.0,36745.0
252.0,3.0,3.0,3.0,5.0,4.0,2.0,4.0,2.0,5.0,1.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,2.0,1.0,4870.0
522.0,2.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,2.0,4.0,6.0,3.0,2.0,3.0,5.0,2.0,5.0,3.0,3.0,5.0,0.0,3741.0
8.0,1.0,3.0,6.0,5.0,3.0,3.0,6.0,2.0,4.0,3.0,3.0,3.0,2.0,5.0,3.0,4.0,4.0,4.0,6.0,5.0,4.0,2.0,9.0,121.0
1475.0,2.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,39741.0
1559.0,3.0,4.0,3.0,6.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,4.0,2.0,5.0,2.0,3.0,3.0,4.0,6.0,5.0,6.0,24135.0
