MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth
121.5,-13.07,0.0,40.0,squared_error,3.0,2.75,10.0
119.61,-12.35,0.0,190.0,squared_error,18.0,4.25,6.0
118.51,-11.9,0.0,130.0,squared_error,1.0,0.75,15.0
120.71,-12.77,0.0,170.0,poisson,17.0,4.942829960715635,13.0
100.56,-0.55,0.0,135.0,absolute_error,17.0,6.75,14.0
119.4,-12.26,0.0,200.0,squared_error,19.0,4.25,1.0
118.41,-11.86,0.0,130.0,squared_error,3.0,2.5,17.0
121.56,-13.09,0.0,30.0,poisson,6.0,9.25,10.0
100.53,-0.52,0.0,190.0,absolute_error,8.0,8.25,2.0
120.37,-12.64,0.0,106.0,squared_error,8.0,4.968740896883263,4.0
119.5,-12.3,0.0,80.0,squared_error,13.0,6.0,17.0
118.67,-11.97,0.0,10.0,poisson,1.0,5.5,9.0
118.91,-12.07,0.0,190.0,squared_error,9.0,3.5,5.0
119.5,-12.3,0.0,40.0,squared_error,1.0,0.25,19.0
120.67,-12.76,0.0,106.0,poisson,5.0,6.5,10.0
119.51,-12.31,0.0,150.0,poisson,2.0,6.25,9.0
119.22,-12.19,0.0,180.0,poisson,19.0,0.5,6.0
119.89,-12.46,0.0,190.0,squared_error,10.0,3.75,2.0
119.58,-12.34,0.0,160.0,squared_error,1.0,4.5,8.0
119.52,-12.31,0.0,180.0,poisson,10.0,1.25,10.0
0.0,0.0,83.33333333,40.0,absolute_error,5.0,9.5,16.0
118.56,-11.92,0.0,190.0,poisson,1.0,2.75,14.0
119.9,-12.46,0.0,200.0,squared_error,9.0,5.0,5.0
120.62,-12.74,0.0,140.0,poisson,5.0,4.942831092136052,3.0
121.22,-12.97,0.0,60.0,squared_error,20.0,6.0,3.0
117.27,-11.37,0.0,100.0,poisson,6.0,5.04086512933136,2.0
0.0,0.0,83.33333333,110.0,absolute_error,12.0,3.5,11.0
119.0,-12.1,0.0,60.0,squared_error,17.0,1.5,18.0
101.67,-1.59,0.0,120.0,absolute_error,2.0,2.5,11.0
100.59,-0.58,0.0,170.0,absolute_error,13.0,8.0,18.0
117.33,-11.4,0.0,110.0,squared_error,11.0,5.0692929026113385,1.0
115.33,-10.5,0.0,10.0,squared_error,1.0,6.75,5.0
120.44,-12.67,0.0,150.0,squared_error,12.0,1.5,1.0
119.33,-12.24,0.0,20.0,squared_error,16.0,2.25,3.0
120.0,-12.5,0.0,50.0,squared_error,4.0,4.5,7.0
120.8,-12.81,0.0,150.0,squared_error,14.0,5.5,18.0
119.17,-12.17,0.0,120.0,squared_error,1.0,4.75,3.0
100.71,-0.7,0.0,140.0,absolute_error,10.0,6.25,14.0
121.42,-13.04,0.0,80.0,squared_error,16.0,9.25,20.0
100.63,-0.61,0.0,160.0,absolute_error,10.0,7.0,9.0
0.0,0.0,83.33333333,50.0,absolute_error,11.0,2.0,5.0
100.91,-0.88,0.0,110.0,absolute_error,4.0,2.5,18.0
119.62,-12.35,0.0,70.0,poisson,16.0,4.5,14.0
120.56,-12.71,0.0,180.0,poisson,12.0,1.25,11.0
0.0,0.0,83.33333333,10.0,absolute_error,5.0,8.5,19.0
119.56,-12.32,0.0,30.0,squared_error,20.0,3.75,19.0
120.87,-12.83,0.0,100.0,squared_error,6.0,3.75,1.0
0.0,0.0,83.33333333,100.0,absolute_error,13.0,3.25,13.0
119.8,-12.42,0.0,100.0,poisson,16.0,4.75,11.0
117.0,-11.26,0.0,20.0,squared_error,16.0,7.0,10.0
119.52,-12.31,0.0,180.0,poisson,18.0,4.988774720848981,3.0
121.61,-13.11,0.0,120.0,poisson,18.0,2.75,2.0
120.16,-12.56,0.0,170.0,poisson,14.0,10.0,2.0
0.0,0.0,83.33333333,60.0,absolute_error,17.0,9.0,5.0
127.33,-15.02,0.0,10.0,poisson,11.0,3.75,2.0
0.0,0.0,83.33333333,140.0,absolute_error,17.0,1.75,13.0
0.0,0.0,83.33333333,70.0,absolute_error,18.0,4.0,7.0
120.15,-12.56,0.0,90.0,poisson,10.0,2.0,7.0
120.22,-12.59,0.0,120.0,squared_error,3.0,2.0,1.0
119.48,-12.29,0.0,140.0,squared_error,15.0,0.25,15.0
119.73,-12.39,0.0,170.0,poisson,18.0,3.0,1.0
0.0,0.0,83.33333333,200.0,absolute_error,18.0,0.5,15.0
119.82,-12.43,0.0,190.0,poisson,4.0,6.5,17.0
119.53,-12.32,0.0,100.0,squared_error,18.0,7.5,19.0
119.33,-12.24,0.0,40.0,poisson,12.0,3.0,13.0
102.22,-2.08,0.0,90.0,absolute_error,12.0,5.1129808156436996,15.0
0.0,0.0,83.33333333,10.0,absolute_error,11.0,5.25,7.0
0.0,0.0,83.33333333,70.0,absolute_error,7.0,5.25,2.0
118.0,-11.69,0.0,30.0,squared_error,4.0,6.75,7.0
120.67,-12.76,0.0,30.0,squared_error,3.0,5.25,5.0
120.0,-12.5,0.0,90.0,poisson,16.0,8.0,10.0
0.0,0.0,83.33333333,150.0,absolute_error,7.0,4.25,12.0
0.0,0.0,83.33333333,140.0,absolute_error,18.0,4.75,14.0
118.62,-11.95,0.0,160.0,squared_error,5.0,8.0,5.0
119.5,-12.3,0.0,40.0,squared_error,19.0,3.5,11.0
0.0,0.0,83.33333333,120.0,absolute_error,4.0,7.25,3.0
121.2,-12.96,0.0,100.0,poisson,20.0,3.0,6.0
0.0,0.0,83.33333333,130.0,absolute_error,17.0,8.0,14.0
0.0,0.0,83.33333333,160.0,absolute_error,4.0,2.5,5.0
120.58,-12.73,0.0,160.0,squared_error,13.0,2.75,15.0
120.47,-12.68,0.0,100.0,poisson,3.0,4.5,11.0
119.93,-12.47,0.0,200.0,squared_error,12.0,4.979710811011038,16.0
120.74,-12.79,0.0,180.0,squared_error,13.0,1.0,12.0
119.56,-12.32,0.0,30.0,squared_error,9.0,9.75,6.0
119.83,-12.43,0.0,40.0,poisson,6.0,2.5,16.0
119.76,-12.41,0.0,140.0,squared_error,6.0,7.0,3.0
119.89,-12.46,0.0,106.0,poisson,11.0,6.0,12.0
0.0,0.0,83.33333333,80.0,absolute_error,3.0,8.5,12.0
121.37,-13.02,0.0,160.0,squared_error,18.0,5.75,10.0
0.0,0.0,83.33333333,120.0,absolute_error,19.0,2.5,17.0
0.0,0.0,83.33333333,180.0,absolute_error,10.0,1.5,9.0
119.52,-12.31,0.0,140.0,squared_error,6.0,1.25,5.0
121.2,-12.96,0.0,150.0,squared_error,13.0,6.25,5.0
0.0,0.0,83.33333333,110.0,absolute_error,12.0,4.75,17.0
0.0,0.0,83.33333333,130.0,absolute_error,9.0,9.75,8.0
120.7,-12.77,0.0,190.0,poisson,11.0,7.25,4.0
102.5,-2.33,0.0,40.0,absolute_error,7.0,6.25,2.0
0.0,0.0,83.33333333,30.0,absolute_error,20.0,4.5,20.0
0.0,0.0,83.33333333,30.0,absolute_error,13.0,9.5,13.0
