MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth
75.4,2.19,0.0,40.0,squared_error,3.0,2.75,10.0
73.68,7.55,25.0,190.0,squared_error,18.0,4.25,6.0
75.4,11.58,37.5,130.0,squared_error,1.0,0.75,15.0
72.57,7.89,25.0,170.0,poisson,17.0,4.25,13.0
100.0,0.0,37.5,180.0,absolute_error,17.0,6.75,14.0
75.7,6.93,0.0,200.0,squared_error,19.0,4.25,1.0
76.69,6.43,0.0,106.0,squared_error,3.0,2.5,17.0
69.08,8.99,25.0,30.0,poisson,6.0,9.25,10.0
100.0,0.0,37.5,190.0,absolute_error,8.0,8.25,2.0
74.66,7.25,25.0,90.0,squared_error,8.0,5.5,4.0
72.42,7.94,25.0,80.0,poisson,13.0,6.0,17.0
74.78,7.21,25.0,10.0,poisson,1.0,5.5,9.0
72.65,7.87,25.0,190.0,squared_error,9.0,3.5,5.0
78.84,2.55,12.5,40.0,squared_error,1.0,0.25,19.0
72.99,7.76,25.0,120.0,poisson,5.0,6.5,10.0
71.15,8.33,25.0,150.0,poisson,2.0,4.957114026290482,9.0
74.57,7.27,25.0,180.0,poisson,19.0,0.5,6.0
76.78,6.6,0.0,190.0,squared_error,10.0,3.75,2.0
75.77,8.91,0.0,160.0,squared_error,1.0,4.5,8.0
74.22,7.38,25.0,180.0,poisson,10.0,1.25,10.0
100.0,0.0,37.5,40.0,absolute_error,5.0,9.5,16.0
75.9,6.87,0.0,106.0,poisson,1.0,2.75,14.0
74.21,7.39,25.0,106.0,squared_error,9.0,5.0,5.0
72.67,7.86,25.0,106.0,poisson,5.0,6.0,3.0
72.15,8.02,25.0,60.0,squared_error,20.0,6.0,3.0
74.52,7.29,25.0,100.0,poisson,6.0,3.5,2.0
100.0,0.0,37.5,110.0,absolute_error,12.0,3.5,11.0
73.65,7.56,25.0,60.0,squared_error,11.0,1.5,18.0
100.0,0.0,37.5,120.0,absolute_error,2.0,5.170623856397841,11.0
99.75,0.07,0.0,170.0,absolute_error,13.0,8.0,18.0
73.9,7.48,25.0,106.0,squared_error,11.0,6.75,1.0
70.39,8.57,25.0,10.0,squared_error,1.0,6.75,5.0
72.95,7.77,25.0,150.0,squared_error,12.0,1.5,1.0
72.48,7.92,25.0,20.0,squared_error,16.0,2.25,3.0
76.75,6.61,0.0,50.0,squared_error,4.0,4.5,7.0
73.01,7.75,25.0,150.0,squared_error,14.0,5.5,18.0
74.9,7.83,25.0,120.0,squared_error,1.0,4.75,3.0
99.7,0.08,0.0,140.0,absolute_error,8.0,6.25,14.0
72.94,7.78,25.0,80.0,squared_error,16.0,9.25,20.0
99.74,0.07,0.0,107.0,absolute_error,1.0,7.0,9.0
100.0,0.0,37.5,50.0,absolute_error,9.0,2.0,5.0
100.0,0.0,37.5,110.0,absolute_error,4.0,2.5,18.0
69.74,8.78,25.0,70.0,poisson,16.0,4.5,14.0
73.99,7.45,25.0,180.0,poisson,12.0,1.25,11.0
100.0,0.0,37.5,10.0,absolute_error,11.0,8.5,19.0
75.73,6.92,0.0,30.0,squared_error,20.0,3.75,19.0
77.7,6.32,0.0,100.0,squared_error,6.0,3.75,1.0
100.0,0.0,37.5,100.0,absolute_error,13.0,5.172076749765884,13.0
75.0,7.14,0.0,100.0,poisson,16.0,4.75,11.0
82.13,5.0,0.0,20.0,poisson,16.0,7.0,10.0
