IDX,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Resource,DevType,Duration,N_effort-,EffortX
1.0,1587.0,774.0,260.0,340.0,128.0,0.0,1502.0,0.0,0.0,4.7,5.0,4.7,5.0,4.0,0.0,4.0,7490.0,7490.0
2.0,260.0,9.0,4.0,3.0,193.0,41.0,51.0,138.0,61.0,16.0,16.6,16.0,16.6,2.0,0.0,17.0,4150.0,4150.0
3.0,152.0,25.0,33.0,28.0,42.0,35.0,163.0,0.0,0.0,4.4,4.1,4.4,4.1,1.0,0.0,9.0,668.0,668.0
4.0,252.0,151.0,28.0,8.0,39.0,0.0,69.0,153.0,4.0,12.8,14.3,15.5,17.3,1.0,0.0,4.0,3901.0,3238.0
5.0,292.0,93.0,0.0,194.0,20.0,0.0,0.0,307.0,0.0,10.3,9.8,12.4,11.7,1.0,0.0,13.0,3607.0,2994.0
6.0,83.0,63.0,0.0,24.0,0.0,0.0,0.0,87.0,0.0,16.1,15.3,19.3,18.5,1.0,0.0,4.0,1606.0,1333.0
7.0,79.0,24.0,0.0,23.0,30.0,0.0,0.0,77.0,0.0,20.3,20.9,24.5,25.1,1.0,0.0,6.0,1936.0,1607.0
8.0,97.0,0.0,108.0,7.0,0.0,5.0,120.0,0.0,0.0,11.9,9.7,11.9,9.7,2.0,0.0,7.0,1158.0,1158.0
9.0,116.0,0.0,23.0,58.0,14.0,20.0,81.0,34.0,0.0,10.7,10.8,12.9,13.0,1.0,0.0,6.0,1498.0,1243.0
10.0,52.0,39.0,7.0,0.0,0.0,0.0,0.0,46.0,0.0,64.8,73.3,78.1,88.3,1.0,0.0,7.0,4063.0,3372.0
11.0,465.0,209.0,129.0,24.0,83.0,15.0,460.0,0.0,0.0,21.9,22.2,21.9,22.2,1.0,0.0,9.0,10200.0,10200.0
12.0,67.0,32.0,5.0,16.0,7.0,0.0,25.0,35.0,0.0,25.4,28.4,30.6,34.2,1.0,0.0,7.0,2053.0,1704.0
