Culture,Criticality,Criticality Modifier,Initial Known,InterDependency,Dynamism,Size,Plan,Team Size,Cost-,Score:,Completion+,Idle-
0.0,1.0,3.0,1.0,88.0,3.0,0.0,1.0,12.0,230.0,0.965362054,0.785714286,0.0
0.0,1.0,2.0,1.0,83.0,1.0,1.0,4.0,17.0,163.0,0.945824084,0.942307692,0.209677419
0.0,1.0,5.0,1.0,87.0,6.0,1.0,1.0,12.0,620.0,0.96588634,0.657142857,0.0
0.0,1.0,4.0,1.0,85.0,6.0,1.0,2.0,14.0,436.0,0.942461064,0.913043478,0.275862069
0.0,1.0,5.0,1.0,87.0,3.0,0.0,2.0,19.0,724.0,0.939693752,1.0,0.222222222
0.0,1.0,7.0,1.0,92.0,4.0,1.0,2.0,12.0,600.0,0.943102525,0.971428571,0.492537313
0.0,1.0,4.0,1.0,90.0,8.0,1.0,1.0,17.0,304.0,0.944848242,0.772727273,0.15
0.0,1.0,4.0,1.0,98.0,5.0,1.0,4.0,15.0,342.0,0.867876009,1.0,0.430769231
0.0,1.0,2.0,1.0,84.0,8.0,0.0,4.0,14.0,119.0,0.932170757,0.7,0.0
0.0,1.0,6.0,1.0,81.0,2.0,0.0,1.0,13.0,406.0,0.96961303,0.933333333,0.5625
0.0,1.0,5.0,1.0,80.0,2.0,0.0,2.0,11.0,255.0,0.965610954,1.0,0.083333333
0.0,1.0,2.0,1.0,93.0,5.0,0.0,3.0,19.0,153.0,0.846477772,0.857142857,0.571428571
0.0,1.0,4.0,1.0,91.0,7.0,0.0,0.0,15.0,259.0,0.932437524,0.916666667,0.0
0.0,1.0,2.0,1.0,85.0,7.0,0.0,0.0,14.0,143.0,0.857002498,0.9375,0.464285714
0.0,1.0,5.0,1.0,81.0,5.0,0.0,3.0,14.0,451.0,0.96807524,0.916666667,0.214285714
0.0,1.0,2.0,1.0,89.0,9.0,0.0,4.0,12.0,81.0,0.951796315,0.19047619,0.0
0.0,1.0,5.0,1.0,86.0,8.0,0.0,0.0,12.0,299.0,0.92016914,1.0,0.416666667
0.0,1.0,4.0,1.0,80.0,1.0,0.0,3.0,11.0,135.0,0.983214522,0.818181818,0.0
0.0,1.0,6.0,1.0,82.0,5.0,0.0,2.0,14.0,288.0,0.961911196,0.846153846,0.0
0.0,1.0,3.0,1.0,82.0,1.0,1.0,2.0,16.0,332.0,0.953792526,0.833333333,0.122807018
