maker, type, CityMPG+, HighwayMPG+, Air_Bags_standard, Drive_train_type, Number_of_cylinders, Engine_size, Horsepower, RPM, Engine_revolutions_per_mile, manual_transmission_available, Fuel_tank_capacity, Passenger_capacity, Length, Wheelbase, Width, U-turn_space, Rear_seat_room, Luggage_capacity, Weight-, domestic, Class-
Acura,Small,25.0,31.0,0.0,1.0,4.0,1.8,140.0,6300.0,2890.0,1.0,13.2,5.0,177.0,102.0,68.0,37.0,26.5,11.0,2705.0,0,15.9
Acura,Midsize,18.0,25.0,2.0,1.0,6.0,3.2,200.0,5500.0,2335.0,1.0,18.0,5.0,195.0,115.0,71.0,38.0,30.0,15.0,3560.0,0,33.9
Audi,Compact,20.0,26.0,1.0,1.0,6.0,2.8,190.72708754911628,5500.0,2280.0,1.0,16.9,5.0,180.0,102.0,67.0,37.0,28.0,14.0,3375.0,0,26.172221665925196
Audi,Midsize,19.0,24.795224144258484,2.0,1.0,6.0,2.885732273213673,172.0,5500.0,2535.0,1.0,21.1,5.449310351430385,193.0,106.0,70.0,37.0,31.0,17.0,3405.0,0,37.7
BMW,Midsize,22.0,30.0,1.0,0.0,4.0,3.5,208.0,5700.0,2545.0,1.0,21.1,4.0,191.60866424930583,109.0,69.0,39.0,27.0,13.0,3640.0,0,30.0
Lincoln,Midsize,22.0,31.0,1.0,1.0,4.0,2.2,110.0,5200.0,2565.0,0.0,16.4,6.0,189.0,105.0,69.0,41.0,28.0,16.0,2880.0,1,15.7
Buick,Large,19.0,28.0,1.0,1.0,6.0,3.8,170.0,4800.0,1570.0,0.0,18.0,6.0,200.0,111.0,74.0,42.0,30.5,17.0,3470.0,1,20.8
Buick,Large,16.0,25.0,1.0,0.0,7.176384531761673,5.7,180.0,4000.0,1320.0,0.0,23.0,6.0,216.0,116.0,78.0,45.0,30.5,21.0,4105.0,1,23.7
Buick,Midsize,19.0,27.0,1.0,1.0,6.0,3.8,170.0,4800.0,1690.0,0.0,18.8,5.0,198.0,108.0,73.0,41.0,26.5,14.0,3495.0,1,26.3
Cadillac,Large,16.0,25.0,1.0,1.0,8.0,4.9,200.0,4100.0,1510.0,0.0,18.0,6.0,206.0,114.0,73.0,43.0,35.0,18.0,3620.0,1,34.7
Cadillac,Midsize,16.0,23.2487395561524,2.0,1.0,8.0,4.6,295.0,6000.0,1985.0,0.0,20.0,4.358661962197876,204.0,111.0,74.0,44.0,31.0,14.0,3935.0,1,40.1
Chevrolet,Compact,25.0,36.0,0.0,1.0,4.0,2.2,110.0,5200.0,2380.0,1.0,15.2,5.0,182.0,101.0,66.0,38.0,25.0,12.796284421073278,2490.0,1,13.4
Lincoln,Compact,25.0,34.0,1.0,1.0,4.157467909791496,2.2,110.0,5372.635419828808,2665.0,1.0,15.6,5.0,184.0,103.0,68.0,39.0,26.0,14.0,2785.0,1,11.4
Chevrolet,Sporty,19.0,28.0,2.0,0.0,6.0,3.4,160.0,4600.0,1805.0,1.0,15.5,4.0,193.0,101.0,74.0,43.0,25.0,13.0,3240.0,1,15.1
Chevrolet,Midsize,21.0,29.0,0.0,1.0,4.0,2.2,110.0,5200.0,2595.0,0.0,16.5,6.0,198.0,108.0,71.0,40.0,28.5,16.0,3195.0,1,15.9
Chevrolet,Van,17.616089243895544,23.0,0.0,1.0,6.0,3.8,170.0,4800.0,1690.0,0.0,20.0,7.0,178.0,110.0,74.0,44.0,30.5,16.859515816801082,3715.0,1,16.3
Chevrolet,Van,15.0,20.0,0.0,2.0,6.0,4.3,165.0,4000.0,1790.0,0.0,27.0,8.0,194.0,111.0,78.0,42.0,33.5,18.96693799684356,4025.0,1,16.6
Chevrolet,Large,17.0,26.0,1.0,0.0,8.0,5.0,170.0,4200.0,1350.0,0.0,23.0,6.0,214.0,116.0,77.0,42.0,29.5,20.0,3910.0,1,18.8
